운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,연남동 공영주차장,3,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 연남로 84 지상 1층,24시간 이용가능,,급속(100kW단독),N,
서울시,연남동 공영주차장,4,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 연남로 84 지상 1층,24시간 이용가능,,급속(100kW단독),N,
서울시,연희동 거주자우선주차장,1,DC콤보,주차시설,일반주차장,서울특별시,서대문구 ,서울특별시 서대문구 연희동 736 거주자우선주차장 32-10 구획,24시간 이용가능,,급속(50kW단독),N,
서울시,연희제2공영주차장,1,DC콤보,공공시설,지자체시설,서울특별시,서대문구 ,서울특별시 서대문구 연희로15길 113 연희제2공영주차장,24시간 이용가능,,급속(100kW단독),N,
서울시,연희제2공영주차장,2,DC콤보,공공시설,지자체시설,서울특별시,서대문구 ,서울특별시 서대문구 연희로15길 113 연희제2공영주차장,24시간 이용가능,,급속(100kW단독),N,
서울시,영동대로85길 노상공영주차장(대명중학교 뒤),1,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,서울특별시 강남구 테헤란로88길 17 ,24시간 이용가능,,급속(50kW단독),N,
서울시,영동대로85길 노상공영주차장(요금정산소 옆),1,DC콤보,주차시설,공영주차장,서울특별시,강남구 ,서울특별시 강남구 삼성로86길 23 ,24시간 이용가능,,급속(50kW단독),N,
서울시,오목교역 노상공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,양천구 ,서울특별시 양천구 목동서로 159-3 ,24시간 이용가능,,급속(50kW단독),N,
서울시,올림픽기념국민생활관,1,AC완속,공공시설,지자체시설,서울특별시,종로구 ,서울특별시 종로구 성균관로 91 올림픽기념국민생활관,24시간 이용가능,,완속(7kW단독),N,
서울시,올림픽기념국민생활관,2,AC완속,공공시설,지자체시설,서울특별시,종로구 ,서울특별시 종로구 성균관로 91 올림픽기념국민생활관,24시간 이용가능,,완속(7kW단독),N,
서울시,올림픽기념국민생활관,3,AC완속,공공시설,지자체시설,서울특별시,종로구 ,서울특별시 종로구 성균관로 91 올림픽기념국민생활관,24시간 이용가능,,완속(7kW단독),N,
