운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,서울특별시 동부기술교육원,2,DC콤보,공공시설,공공기관,서울특별시,안양시 ,경기도 안양시 동안구 시민대로 300 111,24시간 이용가능,,급속(50kW동시),N,
서울시,서울특별시 동부기술교육원,3,DC콤보,공공시설,공공기관,서울특별시,안양시 ,경기도 안양시 동안구 시민대로 300 111,24시간 이용가능,,급속(50kW동시),N,
서울시,서울특별시 동부기술교육원,4,DC콤보,공공시설,공공기관,서울특별시,안양시 ,경기도 안양시 동안구 시민대로 300 111,24시간 이용가능,,급속(50kW동시),N,
서울시,석계역 공영주차장(문화공원 옆),1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 월계동 50-1(더조은요양병원) (월계동, 석계역 공영주차장) 지상1층 진입로 우측 50m",24시간 이용가능,,급속(100kW동시),N,
서울시,석계역 공영주차장(문화공원 옆),2,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 월계동 50-1(더조은요양병원) (월계동, 석계역 공영주차장) 지상1층 진입로 우측 50m",24시간 이용가능,,급속(100kW동시),N,
서울시,석계역 공영주차장(석계역 앞),1,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 월계동 64-2(운기빌라) (월계동, 석계역 공영주차장) 지상 1층 10m",24시간 이용가능,,급속(100kW동시),N,
서울시,석계역 공영주차장(석계역 앞),2,DC콤보,주차시설,공영주차장,서울특별시,노원구 ,"서울 노원구 월계동 64-2(운기빌라) (월계동, 석계역 공영주차장) 지상 1층 10m",24시간 이용가능,,급속(100kW동시),N,
서울시,석관동공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,성북구 ,서울특별시 성북구 돌곶이로11길 10 석관동공영주차장,24시간 이용가능,,급속(50kW동시),N,
서울시,석관동공영주차장,2,DC콤보,주차시설,공영주차장,서울특별시,성북구 ,서울특별시 성북구 돌곶이로11길 10 석관동공영주차장,24시간 이용가능,,급속(50kW동시),N,
서울시,석관동공영주차장,3,DC콤보,주차시설,공영주차장,서울특별시,성북구 ,서울특별시 성북구 돌곶이로11길 10 석관동공영주차장,24시간 이용가능,,급속(50kW동시),N,
서울시,석관동공영주차장,4,DC콤보,주차시설,공영주차장,서울특별시,성북구 ,서울특별시 성북구 돌곶이로11길 10 석관동공영주차장,24시간 이용가능,,급속(50kW동시),N,
서울시,성동구 마장동 거주자우선주차장 가로등형 충전기,1,DC콤보,기타시설,기타,서울특별시,성동구 ,서울특별시 성동구 마장동 775-2 트레저힐스 (서울특별시 성동구 마조로19길 18 전기차 충전소),평일 09:00~18:00,,급속(50kW단독),N,
서울시,성동구청,1,DC차데모+AC3상+DC콤보,공공시설,관공서,서울특별시,성동구 ,"서울특별시 성동구 고산자로 270 (행당동, 성동구청) 지하2층 F7번 구역","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),N,
서울시,성북구의회,1,DC콤보,공공시설,관공서,서울특별시,성북구 ,서울특별시 성북구 북악산로 949-60 성북구의회 주차장,24시간 이용가능,,급속(50kW단독),N,
서울시,송월동차고지,4,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),N,
서울시,송월동차고지,5,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),N,
서울시,송월동차고지,8,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW동시),N,
서울시,송월동차고지,9,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW단독),N,
서울시,송월동차고지,10,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW동시),N,
서울시,송월동차고지,11,DC콤보,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),N,
서울시,송월동차고지,12,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
서울시,송월동차고지,13,AC완속,관광시설,박물관,서울특별시,종로구 ,"서울특별시 종로구 송월길 52 (송월동, 국립기상박물관) 지상1층 주차장 왼쪽 5M(급속), 오른쪽 5M(완속)","주중 08:00~19:00, 주말 09:00~18:00",,완속(7kW단독),N,
